Isabella,F,22898,2010
Sophia,F,20634,2010
Emma,F,17333,2010
Olivia,F,17019,2010
Ava,F,15424,2010
Emily,F,14266,2010
Abigail,F,14234,2010
Madison,F,13175,2010
Chloe,F,11750,2010
Mia,F,10630,2010
Addison,F,10320,2010
Elizabeth,F,10254,2010
Ella,F,9871,2010
Natalie,F,8771,2010
Samantha,F,8401,2010
Alexis,F,8260,2010
Lily,F,7979,2010
Grace,F,7679,2010
Hailey,F,7015,2010
Alyssa,F,6985,2010
Hannah,F,6983,2010
Lillian,F,6950,2010
Avery,F,6672,2010
Leah,F,6534,2010
Nevaeh,F,6418,2010
Sofia,F,6325,2010
Anna,F,6321,2010
Sarah,F,6320,2010
Ashley,F,6309,2010
Brianna,F,6273,2010
Zoe,F,6264,2010
Victoria,F,6223,2010
Gabriella,F,6175,2010
Brooklyn,F,6119,2010
Kaylee,F,6090,2010
Taylor,F,5894,2010
Layla,F,5886,2010
Allison,F,5861,2010
Evelyn,F,5838,2010
Riley,F,5537,2010
Amelia,F,5455,2010
Khloe,F,5401,2010
Makayla,F,5390,2010
Savannah,F,5367,2010
Aubrey,F,5357,2010
Charlotte,F,5356,2010
Zoey,F,5203,2010
Bella,F,5116,2010
Kayla,F,5049,2010
Alexa,F,5038,2010
Peyton,F,4967,2010
Audrey,F,4950,2010
Claire,F,4915,2010
Arianna,F,4838,2010
Julia,F,4674,2010
Aaliyah,F,4661,2010
Kylie,F,4595,2010
Lauren,F,4465,2010
Sophie,F,4413,2010
Sydney,F,4330,2010
Camila,F,4302,2010
Jasmine,F,4170,2010
Morgan,F,4072,2010
Alexandra,F,4018,2010
Jocelyn,F,3985,2010
Maya,F,3967,2010
Gianna,F,3957,2010
Mackenzie,F,3878,2010
Kimberly,F,3868,2010
Katherine,F,3863,2010
Destiny,F,3725,2010
Brooke,F,3702,2010
Trinity,F,3698,2010
Faith,F,3692,2010
Lucy,F,3634,2010
Madelyn,F,3618,2010
Madeline,F,3602,2010
Bailey,F,3592,2010
Payton,F,3585,2010
Andrea,F,3567,2010
Autumn,F,3513,2010
Melanie,F,3485,2010
Serenity,F,3474,2010
Ariana,F,3470,2010
Stella,F,3438,2010
Maria,F,3416,2010
Molly,F,3359,2010
Caroline,F,3356,2010
Genesis,F,3303,2010
Kaitlyn,F,3293,2010
Eva,F,3277,2010
Jessica,F,3197,2010
Gabrielle,F,3141,2010
